Region,Ciclo,MAE,RMSE,Bias,Dias del ciclo
Metepec,2019,0.24144095812455008,0.34874516079318013,0.1857961888338146,170
Metepec,2020,0.23245430119214452,0.3226942593785704,0.17932697373141418,170
Metepec,2021,0.2131281635920431,0.3145498803501138,0.16606363780001357,170
Metepec,2022,0.24515550980029502,0.3524843502433857,0.19537472503633174,170
Metepec,2023,0.24513014576172798,0.3300343631172765,0.18127122869997372,170
Metepec,2024,0.25539898187317306,0.3767654496205137,0.21212832434063222,170
Toluca,2010,0.24536931904081916,0.36188679361792625,0.1952578946840288,170
Toluca,2011,0.23660004187313494,0.33473480921602733,0.18093734539479958,170
Toluca,2012,0.23065827042861112,0.33455412308408056,0.17493612568905909,170
Toluca,2013,0.22028301884458856,0.318797203483602,0.17213413602973665,170
Toluca,2014,0.19237909370553108,0.27121075381255394,0.14522437496995616,170
Toluca,2015,0.19600390065587334,0.27382463122645617,0.14555082968176358,170
Toluca,2016,0.2151040668469151,0.3080864476341363,0.16210641556511118,170
Toluca,2017,0.2184699867929139,0.31414560605549796,0.17396467141735625,170
Toluca,2018,0.21934220975406485,0.30437418347635525,0.16765426095651415,170
Toluca,2019,0.24223268340881443,0.34978143320017796,0.1863719246835048,170
Toluca,2020,0.2332260393258428,0.3236764794651271,0.17989440507551846,170
Toluca,2021,0.21382631136792524,0.3154789849438433,0.16657907499246372,170
Toluca,2022,0.24595961248879925,0.3535390719838187,0.19598526463672933,170
Toluca,2023,0.2459550614582782,0.3310503465423366,0.18184559651188864,170
Toluca,2024,0.2562268167497197,0.37789148728744676,0.2127885872254358,170
Villa de Allende,2010,0.24392709747122335,0.29843391742482234,0.24334057326039252,90
Villa de Allende,2011,0.24775861317943718,0.2990071865426936,0.24708349202661095,90
Villa de Allende,2012,0.241579628040469,0.2887787842928985,0.2408517268824037,90
Villa de Allende,2013,0.2717987119620198,0.3295058169133183,0.2712425736065625,90
Villa de Allende,2014,0.2622312448316177,0.3088345287161296,0.2617155219295397,90
Villa de Allende,2015,0.26642202403627024,0.30908167560442085,0.26582659050249424,90
Villa de Allende,2016,0.26793813258829585,0.3222915741409182,0.2669828960510912,90
