Region,Ciclo,MAE,RMSE,Bias,Dias del ciclo
Toluca,2023,0.9131737122175053,1.2317764908957678,-0.6692541200029302,170
Toluca,2024,0.9210169628386186,1.338995810917817,-0.7532586637217785,170
Villa de Allende,2010,0.9434471405671652,1.140775598575886,-0.9411689771382132,90
Villa de Allende,2011,0.9584968234280828,1.1394618545682829,-0.955672916118639,90
Villa de Allende,2012,0.9361216849820222,1.1140980366081592,-0.9330888495032658,90
Villa de Allende,2013,1.034054720149146,1.2428102169853557,-1.0316172645903778,90
Villa de Allende,2014,1.0078914122989686,1.180183885667069,-1.0057815305419768,90
Villa de Allende,2015,1.0277333173998078,1.1911362839928354,-1.0254177687342616,90
Villa de Allende,2016,1.0185689705822036,1.219308037940091,-1.0149859996111157,90
Villa de Allende,2017,1.0533165218073843,1.289476093998165,-1.049812536094161,90
